"Altitude[m]","Temperature[Kelvin]","Pressure[pascal]","Density[kg/m3]"
0,288.15,101325,1.225
50,287.825,100726,1.21913
100,287.5,100129,1.21328
150,287.175,99536,1.20746
200,286.85,98945.3,1.20165
250,286.525,98357.5,1.19587
300,286.2,97772.6,1.19011
350,285.875,97190.4,1.18436
400,285.55,96611.1,1.17864
450,285.225,96034.6,1.17295
500,284.9,95460.8,1.16727
550,284.575,94889.9,1.16161
600,284.25,94321.7,1.15598
650,283.925,93756.2,1.15036
700,283.6,93193.6,1.14477
750,283.275,92633.6,1.1392
800,282.95,92076.4,1.13364
850,282.625,91521.9,1.12811
900,282.3,90970.1,1.1226
950,281.975,90421,1.11711
1000,281.65,89874.6,1.11164
1050,281.325,89330.8,1.10619
1100,281,88789.8,1.10077
1150,280.675,88251.3,1.09536
1200,280.35,87715.6,1.08997
1250,280.025,87182.5,1.0846
1300,279.7,86651.9,1.07925
1350,279.375,86124.1,1.07393
1400,279.05,85598.8,1.06862
1450,278.725,85076.1,1.06333
1500,278.4,84556,1.05807
1550,278.075,84038.5,1.05282
1600,277.75,83523.5,1.04759
1650,277.425,83011.1,1.04239
1700,277.1,82501.3,1.0372
1750,276.775,81994,1.03203
1800,276.45,81489.2,1.02688
1850,276.125,80987,1.02176
1900,275.8,80487.2,1.01665
1950,275.475,79990,1.01156
2000,275.15,79495.2,1.00649
2050,274.825,79002.9,1.00144
2100,274.5,78513.1,0.99641
2150,274.175,78025.8,0.991399
2200,273.85,77540.9,0.986407
2250,273.525,77058.5,0.981435
2300,273.2,76578.4,0.976481
2350,272.875,76100.9,0.971547
2400,272.55,75625.7,0.966632
2450,272.225,75152.9,0.961736
2500,271.9,74682.5,0.956859
2550,271.575,74214.5,0.952001
2600,271.25,73748.9,0.947162
2650,270.925,73285.7,0.942341
2700,270.6,72824.8,0.93754
2750,270.275,72366.3,0.932757
2800,269.95,71910.1,0.927993
2850,269.625,71456.2,0.923247
2900,269.3,71004.7,0.91852
2950,268.975,70555.5,0.913812
3000,268.65,70108.5,0.909122
3050,268.325,69663.9,0.904451
3100,268,69221.6,0.899798
3150,267.675,68781.5,0.895163
3200,267.35,68343.7,0.890546
3250,267.025,67908.2,0.885948
3300,266.7,67474.9,0.881368
3350,266.375,67043.9,0.876806
3400,266.05,66615,0.872262
3450,265.725,66188.5,0.867737
3500,265.4,65764.1,0.863229
3550,265.075,65341.9,0.858739
3600,264.75,64921.9,0.854267
3650,264.425,64504.2,0.849813
3700,264.1,64088.6,0.845377
3750,263.775,63675.1,0.840958
3800,263.45,63263.9,0.836557
3850,263.125,62854.7,0.832174
3900,262.8,62447.8,0.827808
3950,262.475,62042.9,0.82346
4000,262.15,61640.2,0.819129
4050,261.825,61239.6,0.814816
4100,261.5,60841.2,0.81052
4150,261.175,60444.8,0.806242
4200,260.85,60050.5,0.801981
4250,260.525,59658.3,0.797737
4300,260.2,59268.2,0.79351
4350,259.875,58880.1,0.789301
4400,259.55,58494.2,0.785108
4450,259.225,58110.2,0.780933
4500,258.9,57728.3,0.776775
4550,258.575,57348.5,0.772633
4600,258.25,56970.6,0.768509
4650,257.925,56594.8,0.764401
4700,257.6,56221,0.76031
4750,257.275,55849.2,0.756236
4800,256.95,55479.4,0.752179
4850,256.625,55111.6,0.748138
4900,256.3,54745.7,0.744114
4950,255.975,54381.8,0.740107
5000,255.65,54019.9,0.736116
5050,255.325,53659.9,0.732141
5100,255,53301.9,0.728183
5150,254.675,52945.8,0.724242
5200,254.35,52591.7,0.720317
5250,254.025,52239.4,0.716408
5300,253.7,51889.1,0.712515
5350,253.375,51540.7,0.708638
5400,253.05,51194.2,0.704778
5450,252.725,50849.6,0.700934
5500,252.4,50506.8,0.697106
5550,252.075,50165.9,0.693294
5600,251.75,49826.9,0.689497
5650,251.425,49489.8,0.685717
5700,251.1,49154.5,0.681953
5750,250.775,48821,0.678204
5800,250.45,48489.4,0.674471
5850,250.125,48159.6,0.670754
5900,249.8,47831.6,0.667053
5950,249.475,47505.4,0.663367
6000,249.15,47181,0.659697
6050,248.825,46858.5,0.656043
6100,248.5,46537.7,0.652404
6150,248.175,46218.7,0.64878
6200,247.85,45901.4,0.645172
6250,247.525,45586,0.641579
6300,247.2,45272.3,0.638002
6350,246.875,44960.3,0.634439
6400,246.55,44650.1,0.630892
6450,246.225,44341.6,0.627361
6500,245.9,44034.8,0.623844
6550,245.575,43729.8,0.620343
6600,245.25,43426.5,0.616856
6650,244.925,43124.9,0.613385
6700,244.6,42825,0.609928
6750,244.275,42526.7,0.606487
6800,243.95,42230.2,0.60306
6850,243.625,41935.3,0.599648
6900,243.3,41642.2,0.596251
6950,242.975,41350.6,0.592869
7000,242.65,41060.7,0.589501
7050,242.325,40772.5,0.586148
7100,242,40485.9,0.58281
7150,241.675,40201,0.579486
7200,241.35,39917.6,0.576177
7250,241.025,39635.9,0.572882
7300,240.7,39355.8,0.569602
7350,240.375,39077.3,0.566336
7400,240.05,38800.4,0.563084
7450,239.725,38525.1,0.559847
7500,239.4,38251.4,0.556624
7550,239.075,37979.3,0.553415
7600,238.75,37708.7,0.55022
7650,238.425,37439.7,0.547039
7700,238.1,37172.2,0.543873
7750,237.775,36906.3,0.540721
7800,237.45,36642,0.537582
7850,237.125,36379.1,0.534458
7900,236.8,36117.8,0.531347
7950,236.475,35858.1,0.52825
8000,236.15,35599.8,0.525168
8050,235.825,35343.1,0.522098
8100,235.5,35087.8,0.519043
8150,235.175,34834,0.516001
8200,234.85,34581.8,0.512973
8250,234.525,34331,0.509959
8300,234.2,34081.7,0.506958
8350,233.875,33833.8,0.503971
8400,233.55,33587.5,0.500997
8450,233.225,33342.5,0.498037
8500,232.9,33099,0.49509
8550,232.575,32857,0.492156
8600,232.25,32616.4,0.489236
8650,231.925,32377.2,0.486329
8700,231.6,32139.5,0.483435
8750,231.275,31903.1,0.480555
8800,230.95,31668.2,0.477687
8850,230.625,31434.7,0.474833
8900,230.3,31202.6,0.471992
8950,229.975,30971.8,0.469163
9000,229.65,30742.5,0.466348
9050,229.325,30514.5,0.463546
9100,229,30287.9,0.460756
9150,228.675,30062.6,0.45798
9200,228.35,29838.7,0.455216
9250,228.025,29616.2,0.452465
