Time,Corrected Thrust
0.00,0
0.01,"4,122"
0.02,"4,520"
0.03,"5,304"
0.04,"5,778"
0.05,"6,385"
0.06,"6,564"
0.07,"6,702"
0.08,"6,810"
0.09,"6,895"
0.10,"6,963"
0.11,"7,016"
0.12,"7,057"
0.13,"7,089"
0.14,"7,114"
0.15,"7,132"
0.16,"7,145"
0.17,"7,153"
0.18,"7,157"
0.19,"7,111"
0.20,"7,113"
0.21,"7,112"
0.22,"7,001"
0.23,"6,959"
0.24,"6,919"
0.25,"6,881"
0.26,"6,842"
0.27,"6,805"
0.28,"6,770"
0.29,"6,733"
0.30,"6,699"
0.31,"6,665"
0.32,"6,633"
0.33,"6,600"
0.34,"6,569"
0.35,"6,538"
0.36,"6,509"
0.37,"6,480"
0.38,"6,453"
0.39,"6,425"
0.40,"6,398"
0.41,"6,372"
0.42,"6,347"
0.43,"6,323"
0.44,"6,299"
0.45,"6,276"
0.46,"6,254"
0.47,"6,232"
0.48,"6,210"
0.49,"6,191"
0.50,"6,170"
0.51,"6,151"
0.52,"6,132"
0.53,"6,114"
0.54,"6,096"
0.55,"6,079"
0.56,"6,062"
0.57,"6,047"
0.58,"6,031"
0.59,"6,016"
0.60,"6,001"
0.61,"5,986"
0.62,"5,973"
0.63,"5,960"
0.64,"5,947"
0.65,"5,934"
0.66,"5,922"
0.67,"5,910"
0.68,"5,899"
0.69,"5,888"
0.70,"5,877"
0.71,"5,867"
0.72,"5,857"
0.73,"5,847"
0.74,"5,837"
0.75,"5,828"
0.76,"5,820"
0.77,"5,812"
0.78,"5,803"
0.79,"5,795"
0.80,"5,788"
0.81,"5,780"
0.82,"5,773"
0.83,"5,766"
0.84,"5,759"
0.85,"5,752"
0.86,"5,747"
0.87,"5,741"
0.88,"5,735"
0.89,"5,729"
0.90,"5,723"
0.91,"5,718"
0.92,"5,713"
0.93,"5,708"
0.94,"5,703"
0.95,"5,698"
0.96,"5,693"
0.97,"5,689"
0.98,"5,685"
0.99,"5,681"
1.00,"5,677"
1.01,"5,673"
1.02,"5,669"
1.03,"5,665"
1.04,"5,663"
1.05,"5,659"
1.06,"5,656"
1.07,"5,653"
1.08,"5,650"
1.09,"5,647"
1.10,"5,644"
1.11,"5,641"
1.12,"5,638"
1.13,"5,636"
1.14,"5,633"
1.15,"5,631"
1.16,"5,628"
1.17,"5,626"
1.18,"5,624"
1.19,"5,622"
1.20,"5,620"
1.21,"5,618"
1.22,"5,616"
1.23,"5,614"
1.24,"5,612"
1.25,"5,610"
1.26,"5,609"
1.27,"5,607"
1.28,"5,605"
1.29,"5,604"
1.30,"5,602"
1.31,"5,601"
1.32,"5,599"
1.33,"5,598"
1.34,"5,596"
1.35,"5,595"
1.36,"5,594"
1.37,"5,593"
1.38,"5,591"
1.39,"5,590"
1.40,"5,589"
1.41,"5,588"
1.42,"5,587"
1.43,"5,586"
1.44,"5,585"
1.45,"5,584"
1.46,"5,583"
1.47,"5,582"
1.48,"5,581"
1.49,"5,580"
1.50,"5,579"
1.51,"5,579"
1.52,"5,578"
1.53,"5,577"
1.54,"5,576"
1.55,"5,575"
1.56,"5,575"
1.57,"5,574"
1.58,"5,573"
1.59,"5,573"
1.60,"5,572"
1.61,"5,571"
1.62,"5,571"
1.63,"5,570"
1.64,"5,569"
1.65,"5,569"
1.66,"5,568"
1.67,"5,568"
1.68,"5,567"
1.69,"5,566"
1.70,"5,566"
1.71,"5,565"
1.72,"5,565"
1.73,"5,564"
1.74,"5,564"
1.75,"5,563"
1.76,"5,563"
1.77,"5,562"
1.78,"5,562"
1.79,"5,561"
1.80,"5,561"
1.81,"5,561"
1.82,"5,560"
1.83,"5,560"
1.84,"5,559"
1.85,"5,559"
1.86,"5,558"
1.87,"5,558"
1.88,"5,558"
1.89,"5,557"
1.90,"5,557"
1.91,"5,556"
1.92,"5,556"
1.93,"5,556"
1.94,"5,555"
1.95,"5,555"
1.96,"5,555"
1.97,"5,554"
1.98,"5,554"
1.99,"5,554"
2.00,"5,553"
2.01,"5,553"
2.02,"5,552"
2.03,"5,552"
2.04,"5,552"
2.05,"5,551"
2.06,"5,551"
2.07,"5,551"
2.08,"5,551"
2.09,"5,550"
2.10,"5,550"
2.11,"5,550"
2.12,"5,549"
2.13,"5,549"
2.14,"5,549"
2.15,"5,548"
2.16,"5,548"
2.17,"5,548"
2.18,"5,547"
2.19,"5,547"
2.20,"5,547"
2.21,"5,547"
2.22,"5,546"
2.23,"5,546"
2.24,"5,546"
2.25,"5,545"
2.26,"5,545"
2.27,"5,545"
2.28,"5,545"
2.29,"5,544"
2.30,"5,544"
2.31,"5,544"
2.32,"5,543"
2.33,"5,543"
2.34,"5,543"
2.35,"5,543"
2.36,"5,542"
2.37,"5,542"
2.38,"5,542"
2.39,"5,541"
2.40,"5,541"
2.41,"5,541"
2.42,"5,541"
2.43,"5,540"
2.44,"5,540"
2.45,"5,540"
2.46,"5,540"
2.47,"5,539"
2.48,"5,539"
2.49,"5,539"
2.50,"5,538"
2.51,"5,538"
2.52,"5,538"
2.53,"5,538"
2.54,"5,537"
2.55,"5,537"
2.56,"5,537"
2.57,"5,537"
2.58,"5,536"
2.59,"5,536"
2.60,"5,536"
2.61,"5,536"
2.62,"5,535"
2.63,"5,535"
2.64,"5,535"
2.65,"5,534"
2.66,"5,534"
2.67,"5,534"
2.68,"5,534"
2.69,"5,533"
2.70,"5,533"
2.71,"5,533"
2.72,"5,533"
2.73,"5,532"
2.74,"5,532"
2.75,"5,532"
2.76,"5,532"
2.77,"5,531"
2.78,"5,531"
2.79,"5,531"
2.80,"5,531"
2.81,"5,530"
2.82,"5,530"
2.83,"5,530"
2.84,"5,529"
2.85,"5,529"
2.86,"5,529"
2.87,"5,529"
2.88,"5,528"
2.89,"5,528"
2.90,"5,528"
2.91,"5,528"
2.92,"5,527"
2.93,"5,527"
2.94,"5,527"
2.95,"5,527"
2.96,"5,526"
2.97,"5,526"
2.98,"5,526"
2.99,"5,526"
3.00,"5,525"
3.01,"5,525"
3.02,"5,525"
3.03,"5,524"
3.04,"5,524"
3.05,"5,524"
3.06,"5,524"
3.07,"5,523"
3.08,"5,523"
3.09,"5,523"
3.10,"5,523"
3.11,"5,522"
3.12,"5,522"
3.13,"5,522"
3.14,"5,522"
3.15,"5,521"
3.16,"5,521"
3.17,"5,521"
3.18,"5,521"
3.19,"5,520"
3.20,"5,520"
3.21,"5,520"
3.22,"5,519"
3.23,"5,519"
3.24,"5,519"
3.25,"5,519"
3.26,"5,518"
3.27,"5,518"
3.28,"5,518"
3.29,"5,518"
3.30,"5,517"
3.31,"5,517"
3.32,"5,517"
3.33,"5,517"
3.34,"5,516"
3.35,"5,516"
3.36,"5,516"
3.37,"5,515"
3.38,"5,515"
3.39,"5,515"
3.40,"5,515"
3.41,"5,514"
3.42,"5,514"
3.43,"5,514"
3.44,"5,514"
3.45,"5,513"
3.46,"5,513"
3.47,"5,513"
3.48,"5,513"
3.49,"5,512"
3.50,"5,512"
3.51,"5,512"
3.52,"5,511"
3.53,"5,511"
3.54,"5,511"
3.55,"5,511"
3.56,"5,510"
3.57,"5,510"
3.58,"5,510"
3.59,"5,510"
3.60,"5,509"
3.61,"5,509"
3.62,"5,509"
3.63,"5,508"
3.64,"5,508"
3.65,"5,508"
3.66,"5,508"
3.67,"5,507"
3.68,"5,507"
3.69,"5,507"
3.70,"5,507"
3.71,"5,506"
3.72,"5,506"
3.73,"5,506"
3.74,"5,506"
3.75,"5,505"
3.76,"5,505"
3.77,"5,505"
3.78,"5,504"
3.79,"5,504"
3.80,"5,504"
3.81,"5,504"
3.82,"5,503"
3.83,"5,503"
3.84,"5,503"
3.85,"5,502"
3.86,"5,502"
3.87,"5,502"
3.88,"5,502"
3.89,"5,501"
3.90,"5,501"
3.91,"5,501"
3.92,"5,501"
3.93,"5,500"
3.94,"5,500"
3.95,"5,500"
3.96,"5,499"
3.97,"5,499"
3.98,"5,499"
3.99,"5,499"
4.00,"5,498"
4.01,"5,498"
4.02,"5,498"
4.03,"5,498"
4.04,"5,497"
4.05,"5,497"
4.06,"5,497"
4.07,"5,496"
4.08,"5,496"
4.09,"5,496"
4.10,"5,496"
4.11,"5,495"
4.12,"5,495"
4.13,"5,495"
4.14,"5,494"
4.15,"5,494"
4.16,"5,494"
4.17,"5,494"
4.18,"5,493"
4.19,"5,493"
4.20,"5,493"
4.21,"5,492"
4.22,"5,492"
4.23,"5,492"
4.24,"5,492"
4.25,"5,491"
4.26,"5,491"
4.27,"5,491"
4.28,"5,491"
4.29,"5,490"
4.30,"5,490"
4.31,"5,490"
4.32,"5,489"
4.33,"5,489"
4.34,"5,489"
4.35,"5,489"
4.36,"5,488"
4.37,"5,488"
4.38,"5,488"
4.39,"5,487"
4.40,"5,487"
4.41,"5,487"
4.42,"5,487"
4.43,"5,486"
4.44,"5,486"
4.45,"5,486"
4.46,"5,485"
4.47,"5,485"
4.48,"5,485"
4.49,"5,485"
4.50,"5,484"
4.51,"5,484"
4.52,"5,484"
4.53,"5,483"
4.54,"5,483"
4.55,"5,483"
4.56,"5,483"
4.57,"5,482"
4.58,"5,482"
4.59,"5,482"
4.60,"5,481"
4.61,"5,481"
4.62,"5,481"
4.63,"5,481"
4.64,"5,480"
4.65,"5,480"
4.66,"5,480"
4.67,"5,479"
4.68,"5,479"
4.69,"5,479"
4.70,"5,479"
4.71,"5,478"
4.72,"5,478"
4.73,"5,478"
4.74,"5,477"
4.75,"5,477"
4.76,"5,477"
4.77,"5,476"
4.78,"5,476"
4.79,"5,476"
4.80,"5,476"
4.81,"5,475"
4.82,"5,475"
4.83,"5,475"
4.84,"5,474"
4.85,"5,474"
4.86,"5,474"
4.87,"5,474"
4.88,"5,473"
4.89,"5,473"
4.90,"5,473"
4.91,"5,472"
4.92,"5,472"
4.93,"5,472"
