Time,Corrected Thrust
0.00,0
0.01,4122
0.02,4520
0.03,5304
0.04,5778
0.05,6385
0.06,6564
0.07,6702
0.08,6810
0.09,6895
0.10,6963
0.11,7016
0.12,7057
0.13,7089
0.14,7114
0.15,7132
0.16,7145
0.17,7153
0.18,7157
0.19,7111
0.20,7113
0.21,7112
0.22,7001
0.23,6959
0.24,6919
0.25,6881
0.26,6842
0.27,6805
0.28,6770
0.29,6733
0.30,6699
0.31,6665
0.32,6633
0.33,6600
0.34,6569
0.35,6538
0.36,6509
0.37,6480
0.38,6453
0.39,6425
0.40,6398
0.41,6372
0.42,6347
0.43,6323
0.44,6299
0.45,6276
0.46,6254
0.47,6232
0.48,6210
0.49,6191
0.50,6170
0.51,6151
0.52,6132
0.53,6114
0.54,6096
0.55,6079
0.56,6062
0.57,6047
0.58,6031
0.59,6016
0.60,6001
0.61,5986
0.62,5973
0.63,5960
0.64,5947
0.65,5934
0.66,5922
0.67,5910
0.68,5899
0.69,5888
0.70,5877
0.71,5867
0.72,5857
0.73,5847
0.74,5837
0.75,5828
0.76,5820
0.77,5812
0.78,5803
0.79,5795
0.80,5788
0.81,5780
0.82,5773
0.83,5766
0.84,5759
0.85,5752
0.86,5747
0.87,5741
0.88,5735
0.89,5729
0.90,5723
0.91,5718
0.92,5713
0.93,5708
0.94,5703
0.95,5698
0.96,5693
0.97,5689
0.98,5685
0.99,5681
1.00,5677
1.01,5673
1.02,5669
1.03,5665
1.04,5663
1.05,5659
1.06,5656
1.07,5653
1.08,5650
1.09,5647
1.10,5644
1.11,5641
1.12,5638
1.13,5636
1.14,5633
1.15,5631
1.16,5628
1.17,5626
1.18,5624
1.19,5622
1.20,5620
1.21,5618
1.22,5616
1.23,5614
1.24,5612
1.25,5610
1.26,5609
1.27,5607
1.28,5605
1.29,5604
1.30,5602
1.31,5601
1.32,5599
1.33,5598
1.34,5596
1.35,5595
1.36,5594
1.37,5593
1.38,5591
1.39,5590
1.40,5589
1.41,5588
1.42,5587
1.43,5586
1.44,5585
1.45,5584
1.46,5583
1.47,5582
1.48,5581
1.49,5580
1.50,5579
1.51,5579
1.52,5578
1.53,5577
1.54,5576
1.55,5575
1.56,5575
1.57,5574
1.58,5573
1.59,5573
1.60,5572
1.61,5571
1.62,5571
1.63,5570
1.64,5569
1.65,5569
1.66,5568
1.67,5568
1.68,5567
1.69,5566
1.70,5566
1.71,5565
1.72,5565
1.73,5564
1.74,5564
1.75,5563
1.76,5563
1.77,5562
1.78,5562
1.79,5561
1.80,5561
1.81,5561
1.82,5560
1.83,5560
1.84,5559
1.85,5559
1.86,5558
1.87,5558
1.88,5558
1.89,5557
1.90,5557
1.91,5556
1.92,5556
1.93,5556
1.94,5555
1.95,5555
1.96,5555
1.97,5554
1.98,5554
1.99,5554
2.00,5553
2.01,5553
2.02,5552
2.03,5552
2.04,5552
2.05,5551
2.06,5551
2.07,5551
2.08,5551
2.09,5550
2.10,5550
2.11,5550
2.12,5549
2.13,5549
2.14,5549
2.15,5548
2.16,5548
2.17,5548
2.18,5547
2.19,5547
2.20,5547
2.21,5547
2.22,5546
2.23,5546
2.24,5546
2.25,5545
2.26,5545
2.27,5545
2.28,5545
2.29,5544
2.30,5544
2.31,5544
2.32,5543
2.33,5543
2.34,5543
2.35,5543
2.36,5542
2.37,5542
2.38,5542
2.39,5541
2.40,5541
2.41,5541
2.42,5541
2.43,5540
2.44,5540
2.45,5540
2.46,5540
2.47,5539
2.48,5539
2.49,5539
2.50,5538
2.51,5538
2.52,5538
2.53,5538
2.54,5537
2.55,5537
2.56,5537
2.57,5537
2.58,5536
2.59,5536
2.60,5536
2.61,5536
2.62,5535
2.63,5535
2.64,5535
2.65,5534
2.66,5534
2.67,5534
2.68,5534
2.69,5533
2.70,5533
2.71,5533
2.72,5533
2.73,5532
2.74,5532
2.75,5532
2.76,5532
2.77,5531
2.78,5531
2.79,5531
2.80,5531
2.81,5530
2.82,5530
2.83,5530
2.84,5529
2.85,5529
2.86,5529
2.87,5529
2.88,5528
2.89,5528
2.90,5528
2.91,5528
2.92,5527
2.93,5527
2.94,5527
2.95,5527
2.96,5526
2.97,5526
2.98,5526
2.99,5526
3.00,5525
3.01,5525
3.02,5525
3.03,5524
3.04,5524
3.05,5524
3.06,5524
3.07,5523
3.08,5523
3.09,5523
3.10,5523
3.11,5522
3.12,5522
3.13,5522
3.14,5522
3.15,5521
3.16,5521
3.17,5521
3.18,5521
3.19,5520
3.20,5520
3.21,5520
3.22,5519
3.23,5519
3.24,5519
3.25,5519
3.26,5518
3.27,5518
3.28,5518
3.29,5518
3.30,5517
3.31,5517
3.32,5517
3.33,5517
3.34,5516
3.35,5516
3.36,5516
3.37,5515
3.38,5515
3.39,5515
3.40,5515
3.41,5514
3.42,5514
3.43,5514
3.44,5514
3.45,5513
3.46,5513
3.47,5513
3.48,5513
3.49,5512
3.50,5512
3.51,5512
3.52,5511
3.53,5511
3.54,5511
3.55,5511
3.56,5510
3.57,5510
3.58,5510
3.59,5510
3.60,5509
3.61,5509
3.62,5509
3.63,5508
3.64,5508
3.65,5508
3.66,5508
3.67,5507
3.68,5507
3.69,5507
3.70,5507
3.71,5506
3.72,5506
3.73,5506
3.74,5506
3.75,5505
3.76,5505
3.77,5505
3.78,5504
3.79,5504
3.80,5504
3.81,5504
3.82,5503
3.83,5503
3.84,5503
3.85,5502
3.86,5502
3.87,5502
3.88,5502
3.89,5501
3.90,5501
3.91,5501
3.92,5501
3.93,5500
3.94,5500
3.95,5500
3.96,5499
3.97,5499
3.98,5499
3.99,5499
4.00,5498
4.01,5498
4.02,5498
4.03,5498
4.04,5497
4.05,5497
4.06,5497
4.07,5496
4.08,5496
4.09,5496
4.10,5496
4.11,5495
4.12,5495
4.13,5495
4.14,5494
4.15,5494
4.16,5494
4.17,5494
4.18,5493
4.19,5493
4.20,5493
4.21,5492
4.22,5492
4.23,5492
4.24,5492
4.25,5491
4.26,5491
4.27,5491
4.28,5491
4.29,5490
4.30,5490
4.31,5490
4.32,5489
4.33,5489
4.34,5489
4.35,5489
4.36,5488
4.37,5488
4.38,5488
4.39,5487
4.40,5487
4.41,5487
4.42,5487
4.43,5486
4.44,5486
4.45,5486
4.46,5485
4.47,5485
4.48,5485
4.49,5485
4.50,5484
4.51,5484
4.52,5484
4.53,5483
4.54,5483
4.55,5483
4.56,5483
4.57,5482
4.58,5482
4.59,5482
4.60,5481
4.61,5481
4.62,5481
4.63,5481
4.64,5480
4.65,5480
4.66,5480
4.67,5479
4.68,5479
4.69,5479
4.70,5479
4.71,5478
4.72,5478
4.73,5478
4.74,5477
4.75,5477
4.76,5477
4.77,5476
4.78,5476
4.79,5476
4.80,5476
4.81,5475
4.82,5475
4.83,5475
4.84,5474
4.85,5474
4.86,5474
4.87,5474
4.88,5473
4.89,5473
4.90,5473
4.91,5472
4.92,5472
4.93,5472
4.94,5472
4.95,5471
4.96,5471
4.97,5471
4.98,5470
4.99,5470
5.00,5470
5.01,5469
5.02,5469
5.03,5469
5.04,5469
5.05,5468
5.06,5468
5.07,5468
5.08,5467
5.09,5467
5.10,5467
5.11,5466
5.12,5466
5.13,5466
5.14,5466
5.15,5465
5.16,5465
5.17,5465
5.18,5464
5.19,5464
5.20,5464
5.21,5463
5.22,5463
5.23,5463
5.24,5463
5.25,5462
5.26,5462
5.27,5462
5.28,5461
5.29,5461
5.30,5461
5.31,5460
5.32,5460
5.33,5460
5.34,5460
5.35,5459
5.36,5459
5.37,5459
5.38,5458
5.39,5458
5.40,5458
5.41,5457
5.42,5457
5.43,5457
5.44,5457
5.45,5456
5.46,5456
5.47,5456
5.48,5455
5.49,5455
5.50,5455
5.51,5454
5.52,5454
5.53,5454
5.54,5453
5.55,5453
5.56,5453
5.57,5453
5.58,5452
5.59,5452
5.60,5452
5.61,5451
5.62,5451
5.63,5451
5.64,5450
5.65,5450
5.66,5450
5.67,5449
5.68,5449
5.69,5449
5.70,5449
5.71,5448
5.72,5448
5.73,5448
5.74,5447
5.75,5447
5.76,5447
5.77,5446
5.78,5446
5.79,5446
5.80,5445
5.81,5445
5.82,5445
5.83,5445
5.84,5444
5.85,5444
5.86,5444
5.87,5443
5.88,5443
5.89,5443
5.90,5442
5.91,5442
5.92,5442
5.93,5441
5.94,5441
5.95,5441
5.96,5440
5.97,5440
5.98,5440
5.99,5440
6.00,5439
6.01,5439
6.02,5439
6.03,5438
6.04,5438
6.05,5438
6.06,5437
6.07,5437
6.08,5437
6.09,5436
6.10,5436
6.11,5436
6.12,5435
6.13,5435
6.14,5435
6.15,5434
6.16,5434
6.17,5434
6.18,5434
6.19,5433
6.20,5433
6.21,5433
6.22,5432
6.23,5432
6.24,5432
6.25,5431
6.26,5431
6.27,5431
6.28,5430
6.29,5430
6.30,5430
6.31,5429
6.32,5429
6.33,5429
6.34,5428
6.35,5428
6.36,5428
6.37,5427
6.38,5427
6.39,5427
6.40,5426
6.41,5426
6.42,5426
6.43,5425
6.44,5425
6.45,5425
6.46,5424
6.47,5424
6.48,5424
6.49,5424
6.50,5423
6.51,5423
6.52,5423
6.53,5422
6.54,5422
6.55,5422
6.56,5421
6.57,5421
6.58,5421
6.59,5420
6.60,5420
6.61,5420
6.62,5419
6.63,5419
6.64,5419
6.65,5418
6.66,5418
6.67,5418
6.68,5417
6.69,5417
6.70,5417
6.71,5416
6.72,5416
6.73,5416
6.74,5415
6.75,5414
6.76,5414
6.77,5414
6.78,5413
6.79,5413
6.80,5413
6.81,5412
6.82,5412
6.83,5412
6.84,5411
6.85,5411
6.86,5411
6.87,5410
6.88,5410
6.89,5410
6.90,5409
6.91,5409
6.92,5409
6.93,5408
6.94,5408
6.95,5408
6.96,5407
6.97,5407
6.98,5407
6.99,5406
7.00,5406
7.01,5406
7.02,5405
7.03,5405
7.04,5405
7.05,5404
